Observacion_ID,Experiment_ID,Hypothesis_ID,Nivel,Fecha_Inicio,Fecha_Fin,Contenido_Referencia,Plataforma,Formato,Tipo_Contenido,Posts_N,Interacciones_Totales,Interacciones_Dia,Mediana_Interacciones,Shares_Interacciones,Slot_Planeado,Hora_Real,Meta_ID,Interacciones_24h,Interacciones_72h,Estado_Canon,Estado_Publicacion,Veredicto,Conclusion,Proxima_Accion,Fuente
OBS-FB-15_16-05,EXP-2026-08-CAL-01,HB-003|HB-004|HB-005,Publicacion,2026-08-16,2026-08-16,2608037- Universe - soñe que era un litrro de agua.jpeg,Facebook,Imagen estática,Nueva,1,,,,,10:00,10:00:00,1036844829507460_122150559873072582,,,Aprobado,Publicado,Pendiente_24h,Publicación real confirmada por Meta Graph API y reconciliada con CNT-035; aún sin métricas de 24/72 horas. Extracción 2026-08-15T21:59:37Z: ninguna ventana 24/72h elegible; evidencia Operations/Research/2026-08-15_Metricas_24_72_Extraccion_01.json; métricas no estimadas. [METRICS-RUN:P0-2026-08-19-NEXT] 2026-08-19T03:13:31.507527+00:00: 24h due; 24h_snapshot_unavailable; Meta response contains current lifetime totals only; no exact 24h/72h snapshot written. [METRICS-RUN:20260823T210000Z] 2026-08-23T21:00:00+00:00: 72h due; 72h_snapshot_unavailable; Meta response contains current lifetime totals only; no exact 24h/72h snapshot written.,Extraer métricas 24h y 72h; después actualizar el veredicto por hipótesis. Revisar en el siguiente lote de 48 horas.,2026-08-15_Calendario_15_16_Agosto.csv
OBS-FB-15_16-06,EXP-2026-08-CAL-01,HB-003|HB-004|HB-005,Publicacion,2026-08-16,2026-08-16,260673 - Universe.png,Facebook,Imagen estática,Reuse_Approved_User_Context,1,,,,,13:30,13:30:00,1036844829507460_122150559981072582,,,Aprobado,Publicado,Pendiente_24h,Publicación real confirmada por Meta Graph API y reconciliada con CNT-036; aún sin métricas de 24/72 horas. Extracción 2026-08-15T21:59:37Z: ninguna ventana 24/72h elegible; evidencia Operations/Research/2026-08-15_Metricas_24_72_Extraccion_01.json; métricas no estimadas. [METRICS-RUN:P0-2026-08-19-NEXT] 2026-08-19T03:13:31.507527+00:00: 24h due; 24h_snapshot_unavailable; Meta response contains current lifetime totals only; no exact 24h/72h snapshot written. [METRICS-RUN:20260823T210000Z] 2026-08-23T21:00:00+00:00: 72h due; 72h_snapshot_unavailable; Meta response contains current lifetime totals only; no exact 24h/72h snapshot written.,Extraer métricas 24h y 72h; después actualizar el veredicto por hipótesis. Revisar en el siguiente lote de 48 horas.,2026-08-15_Calendario_15_16_Agosto.csv
OBS-FB-15_16-07,EXP-2026-08-CAL-01,HB-003|HB-004|HB-005,Publicacion,2026-08-16,2026-08-16,2608036- Elara+Evan - Nadie nos soporta.jpeg,Facebook,Imagen estática,Nueva,1,,,,,16:00,16:00:00,1036844829507460_122150560083072582,,,Aprobado,Publicado,Pendiente_24h,Publicación real confirmada por Meta Graph API y reconciliada con CNT-037; aún sin métricas de 24/72 horas. Extracción 2026-08-15T21:59:37Z: ninguna ventana 24/72h elegible; evidencia Operations/Research/2026-08-15_Metricas_24_72_Extraccion_01.json; métricas no estimadas. [METRICS-RUN:P0-2026-08-19-NEXT] 2026-08-19T03:13:31.507527+00:00: 24h due; 24h_snapshot_unavailable; Meta response contains current lifetime totals only; no exact 24h/72h snapshot written. [METRICS-RUN:20260823T210000Z] 2026-08-23T21:00:00+00:00: 72h due; 72h_snapshot_unavailable; Meta response contains current lifetime totals only; no exact 24h/72h snapshot written.,Extraer métricas 24h y 72h; después actualizar el veredicto por hipótesis. Revisar en el siguiente lote de 48 horas.,2026-08-15_Calendario_15_16_Agosto.csv
OBS-FB-15_16-08,EXP-2026-08-CAL-01,HB-003|HB-004|HB-005,Publicacion,2026-08-16,2026-08-16,2608060 - Kael+Maeve - gustos salvajones.jpeg,Facebook,Imagen estática,Nueva,1,,,,,19:00,19:00:00,1036844829507460_122150560215072582,,,Aprobado,Publicado,Pendiente_24h,Publicación real confirmada por Meta Graph API y reconciliada con CNT-038; aún sin métricas de 24/72 horas. Extracción 2026-08-15T21:59:37Z: ninguna ventana 24/72h elegible; evidencia Operations/Research/2026-08-15_Metricas_24_72_Extraccion_01.json; métricas no estimadas. [METRICS-RUN:P0-2026-08-19-NEXT] 2026-08-19T03:13:31.507527+00:00: 24h due; 24h_snapshot_unavailable; Meta response contains current lifetime totals only; no exact 24h/72h snapshot written. [METRICS-RUN:20260823T210000Z] 2026-08-23T21:00:00+00:00: 72h due; 72h_snapshot_unavailable; Meta response contains current lifetime totals only; no exact 24h/72h snapshot written.,Extraer métricas 24h y 72h; después actualizar el veredicto por hipótesis. Revisar en el siguiente lote de 48 horas.,2026-08-15_Calendario_15_16_Agosto.csv
OBS-FB-15_16-09,EXP-2026-08-CAL-01,HB-003|HB-004|HB-005,Publicacion,2026-08-16,2026-08-16,humor4.16.png,Facebook,Imagen estática,Reuse_Approved_User_Context,1,,,,,22:00,22:00:00,1036844829507460_122150560383072582,,,Aprobado,Publicado,Pendiente_24h,Publicación real confirmada por Meta Graph API y reconciliada con CNT-039; aún sin métricas de 24/72 horas. Extracción 2026-08-15T21:59:37Z: ninguna ventana 24/72h elegible; evidencia Operations/Research/2026-08-15_Metricas_24_72_Extraccion_01.json; métricas no estimadas. [METRICS-RUN:P0-2026-08-19-NEXT] 2026-08-19T03:13:31.507527+00:00: 24h due; 24h_snapshot_unavailable; Meta response contains current lifetime totals only; no exact 24h/72h snapshot written. [METRICS-RUN:20260823T210000Z] 2026-08-23T21:00:00+00:00: 72h due; 72h_snapshot_unavailable; Meta response contains current lifetime totals only; no exact 24h/72h snapshot written.,Extraer métricas 24h y 72h; después actualizar el veredicto por hipótesis. Revisar en el siguiente lote de 48 horas.,2026-08-15_Calendario_15_16_Agosto.csv
OBS-IG-15_16-01,EXP-2026-08-CAL-01,HB-003|HB-004|HB-005,Publicacion,2026-08-15,2026-08-15,2608030 - Universe - Que fibra tomas pa cagarla tanto.jpeg,Instagram,Imagen estática,Nueva,1,,,,,10:00,10:59:41,18145111759484218,,,Aprobado,Publicado,Registro_Operativo,Publicación manual confirmada en Instagram después de aprobación explícita; no demuestra programación futura nativa ni ejecución automática del scheduler.,Mantener fuera de la automatización hasta una nueva decisión; medir solo si los insights estén disponibles.,2026-08-15_Calendario_15_16_Agosto.csv; commit 1694b00
OBS-FB-17_30-01,EXP-2026-08-CAL-01,HB-003|HB-004|HB-005,Publicacion,2026-08-17,2026-08-17,260633 - Universe.png,Facebook,Imagen estática / meme,Reuse_Top,1,,,,,10:00,,1036844829507460_122151373701072582,,,No_aplica,Publicado,Pendiente_Publicacion,Post programado y confirmado por Meta; is_published=false; pendiente de publicación real y de métricas 24/72 horas.,"Después de la publicación real, registrar Fecha_Publicacion_Local/Hora_Publicacion_Local y extraer métricas 24h/72h.",2026-08-16_Calendario_Operativo_17_30_Agosto.csv; Meta Graph API v26; facebook_schedule_api_results.jsonl [RECONCILIACION-PUBLICATION-LOG:20260825T012857Z] Estado_Publicacion confirmado como Publicado desde Publication_Log; no se modificaron métricas ni veredicto.
OBS-FB-17_30-02,EXP-2026-08-CAL-01,HB-003|HB-004|HB-005,Publicacion,2026-08-17,2026-08-17,2608028 - Universe -  El amor esta en todos lados.png,Facebook,Imagen estática / meme,Nueva,1,,,,,11:00,,1036844829507460_122151373761072582,,,No_aplica,Publicado,Pendiente_Publicacion,Post programado y confirmado por Meta; is_published=false; pendiente de publicación real y de métricas 24/72 horas.,"Después de la publicación real, registrar Fecha_Publicacion_Local/Hora_Publicacion_Local y extraer métricas 24h/72h.",2026-08-16_Calendario_Operativo_17_30_Agosto.csv; Meta Graph API v26; facebook_schedule_api_results.jsonl [RECONCILIACION-PUBLICATION-LOG:20260825T012857Z] Estado_Publicacion confirmado como Publicado desde Publication_Log; no se modificaron métricas ni veredicto.
OBS-FB-17_30-03,EXP-2026-08-CAL-01,HB-003|HB-004|HB-005,Publicacion,2026-08-17,2026-08-17,2608034- Elara - uno debe ser chismoso.jpeg,Facebook,Imagen estática / meme,Nueva,1,,,,,13:30,,1036844829507460_122151373833072582,,,No_aplica,Publicado,Pendiente_Publicacion,Post programado y confirmado por Meta; is_published=false; pendiente de publicación real y de métricas 24/72 horas.,"Después de la publicación real, registrar Fecha_Publicacion_Local/Hora_Publicacion_Local y extraer métricas 24h/72h.",2026-08-16_Calendario_Operativo_17_30_Agosto.csv; Meta Graph API v26; facebook_schedule_api_results.jsonl [RECONCILIACION-PUBLICATION-LOG:20260825T012857Z] Estado_Publicacion confirmado como Publicado desde Publication_Log; no se modificaron métricas ni veredicto.
OBS-FB-17_30-04,EXP-2026-08-CAL-01,HB-003|HB-004|HB-005,Publicacion,2026-08-17,2026-08-17,260642 - Universe+Wilfred.png,Facebook,Imagen estática / meme,Reuse_Top,1,,,,,16:00,,1036844829507460_122151373893072582,,,No_aplica,Publicado,Pendiente_Publicacion,Post programado y confirmado por Meta; is_published=false; pendiente de publicación real y de métricas 24/72 horas.,"Después de la publicación real, registrar Fecha_Publicacion_Local/Hora_Publicacion_Local y extraer métricas 24h/72h.",2026-08-16_Calendario_Operativo_17_30_Agosto.csv; Meta Graph API v26; facebook_schedule_api_results.jsonl [RECONCILIACION-PUBLICATION-LOG:20260825T012857Z] Estado_Publicacion confirmado como Publicado desde Publication_Log; no se modificaron métricas ni veredicto.
OBS-FB-17_30-05,EXP-2026-08-CAL-01,HB-003|HB-004|HB-005,Publicacion,2026-08-17,2026-08-17,2608027.jpeg,Facebook,Imagen estática / meme,Nueva,1,,,,,17:00,,1036844829507460_122151373953072582,,,No_aplica,Publicado,Pendiente_Publicacion,Post programado y confirmado por Meta; is_published=false; pendiente de publicación real y de métricas 24/72 horas.,"Después de la publicación real, registrar Fecha_Publicacion_Local/Hora_Publicacion_Local y extraer métricas 24h/72h.",2026-08-16_Calendario_Operativo_17_30_Agosto.csv; Meta Graph API v26; facebook_schedule_api_results.jsonl [RECONCILIACION-PUBLICATION-LOG:20260825T012857Z] Estado_Publicacion confirmado como Publicado desde Publication_Log; no se modificaron métricas ni veredicto.
OBS-FB-17_30-06,EXP-2026-08-CAL-01,HB-003|HB-004|HB-005,Publicacion,2026-08-17,2026-08-17,2608029 - Wilfred - Quiero loquiar.jpeg,Facebook,Imagen estática / meme,Nueva,1,,,,,19:00,19:00:01,1036844829507460_122151374019072582,,,No_aplica,Publicado,Corte_Observado_Lifetime,"Corte observado 20260821T032233Z: 235 reacciones, 4 comentarios, 100 shares; no es snapshot exacto 24/72h. [METRICS-RUN:20260823T210000Z] 2026-08-23T21:00:00+00:00: 24h,72h due; 24h_snapshot_unavailable 72h_snapshot_unavailable; Meta response contains current lifetime totals only; no exact 24h/72h snapshot written.","Mantener separado de P0, Reels y afiliados; continuar con el siguiente corte observado.",2026-08-16_Calendario_Operativo_17_30_Agosto.csv; Meta Graph API v26; facebook_schedule_api_results.jsonl; Operations/Research/2026-08-20_Cohorte_17_30_Current_Cut.json; Current_Cut:20260821T032233Z
OBS-FB-17_30-07,EXP-2026-08-CAL-01,HB-003|HB-004|HB-005,Publicacion,2026-08-18,2026-08-18,260646 - No sean asi.. (14-jun-26).png,Facebook,Imagen estática / meme,Reuse_Top,1,,,,,10:00,10:00:04,1036844829507460_122151374085072582,,,No_aplica,Publicado,Corte_Observado_Lifetime,"Corte observado 20260821T032233Z: 10 reacciones, 0 comentarios, 3 shares; no es snapshot exacto 24/72h. [METRICS-RUN:20260823T210000Z] 2026-08-23T21:00:00+00:00: 24h,72h due; 24h_snapshot_unavailable 72h_snapshot_unavailable; Meta response contains current lifetime totals only; no exact 24h/72h snapshot written.","Mantener separado de P0, Reels y afiliados; continuar con el siguiente corte observado.",2026-08-16_Calendario_Operativo_17_30_Agosto.csv; Meta Graph API v26; facebook_schedule_api_results.jsonl; Operations/Research/2026-08-20_Cohorte_17_30_Current_Cut.json; Current_Cut:20260821T032233Z
OBS-FB-17_30-08,EXP-2026-08-CAL-01,HB-003|HB-004|HB-005,Publicacion,2026-08-18,2026-08-18,2608046 - Universe - Mis firmas no se parecen.jpeg,Facebook,Imagen estática / meme,Nueva,1,,,,,11:00,11:00:06,1036844829507460_122151374157072582,,,No_aplica,Publicado,Corte_Observado_Lifetime,"Corte observado 20260821T032233Z: 50 reacciones, 4 comentarios, 8 shares; no es snapshot exacto 24/72h. [METRICS-RUN:20260823T210000Z] 2026-08-23T21:00:00+00:00: 24h,72h due; 24h_snapshot_unavailable 72h_snapshot_unavailable; Meta response contains current lifetime totals only; no exact 24h/72h snapshot written.","Mantener separado de P0, Reels y afiliados; continuar con el siguiente corte observado.",2026-08-16_Calendario_Operativo_17_30_Agosto.csv; Meta Graph API v26; facebook_schedule_api_results.jsonl; Operations/Research/2026-08-20_Cohorte_17_30_Current_Cut.json; Current_Cut:20260821T032233Z
OBS-FB-17_30-09,EXP-2026-08-CAL-01,HB-003|HB-004|HB-005,Publicacion,2026-08-18,2026-08-18,260735 - Universe - dentro de ti hay dos payasos (10-jun-26).png,Facebook,Imagen estática / meme,Reuse_Top,1,,,,,13:30,13:30:01,1036844829507460_122151374217072582,,,No_aplica,Publicado,Corte_Observado_Lifetime,"Corte observado 20260821T032233Z: 38 reacciones, 3 comentarios, 14 shares; no es snapshot exacto 24/72h. [METRICS-RUN:20260823T210000Z] 2026-08-23T21:00:00+00:00: 24h,72h due; 24h_snapshot_unavailable 72h_snapshot_unavailable; Meta response contains current lifetime totals only; no exact 24h/72h snapshot written.","Mantener separado de P0, Reels y afiliados; continuar con el siguiente corte observado.",2026-08-16_Calendario_Operativo_17_30_Agosto.csv; Meta Graph API v26; facebook_schedule_api_results.jsonl; Operations/Research/2026-08-20_Cohorte_17_30_Current_Cut.json; Current_Cut:20260821T032233Z
OBS-FB-17_30-10,EXP-2026-08-CAL-01,HB-003|HB-004|HB-005,Publicacion,2026-08-18,2026-08-18,2608052 - Evan - Yo confiando en Google Maps.jpeg,Facebook,Imagen estática / meme,Nueva,1,,,,,16:00,16:00:02,1036844829507460_122151374289072582,,,No_aplica,Publicado,Corte_Observado_Lifetime,"Corte observado 20260821T032233Z: 19 reacciones, 2 comentarios, 2 shares; no es snapshot exacto 24/72h. [METRICS-RUN:20260823T210000Z] 2026-08-23T21:00:00+00:00: 24h,72h due; 24h_snapshot_unavailable 72h_snapshot_unavailable; Meta response contains current lifetime totals only; no exact 24h/72h snapshot written.","Mantener separado de P0, Reels y afiliados; continuar con el siguiente corte observado.",2026-08-16_Calendario_Operativo_17_30_Agosto.csv; Meta Graph API v26; facebook_schedule_api_results.jsonl; Operations/Research/2026-08-20_Cohorte_17_30_Current_Cut.json; Current_Cut:20260821T032233Z
OBS-FB-17_30-11,EXP-2026-08-CAL-01,HB-003|HB-004|HB-005,Publicacion,2026-08-18,2026-08-18,260644 - Universe.png,Facebook,Imagen estática / meme,Reuse_Top,1,,,,,17:00,17:00:29,1036844829507460_122151374367072582,,,No_aplica,Publicado,Corte_Observado_Lifetime,"Corte observado 20260821T032233Z: 25 reacciones, 1 comentarios, 14 shares; no es snapshot exacto 24/72h. [METRICS-RUN:20260823T210000Z] 2026-08-23T21:00:00+00:00: 24h,72h due; 24h_snapshot_unavailable 72h_snapshot_unavailable; Meta response contains current lifetime totals only; no exact 24h/72h snapshot written.","Mantener separado de P0, Reels y afiliados; continuar con el siguiente corte observado.",2026-08-16_Calendario_Operativo_17_30_Agosto.csv; Meta Graph API v26; facebook_schedule_api_results.jsonl; Operations/Research/2026-08-20_Cohorte_17_30_Current_Cut.json; Current_Cut:20260821T032233Z
OBS-FB-17_30-12,EXP-2026-08-CAL-01,HB-003|HB-004|HB-005,Publicacion,2026-08-18,2026-08-18,2608032 - Kiri - Para romper el echizo tendras que besarla en los labios.jpeg,Facebook,Imagen estática / meme,Nueva,1,,,,,19:00,19:00:00,1036844829507460_122151374457072582,,,No_aplica,Publicado,Corte_Observado_Lifetime,"Corte observado 20260821T032233Z: 3 reacciones, 0 comentarios, 0 shares; no es snapshot exacto 24/72h. [METRICS-RUN:20260823T210000Z] 2026-08-23T21:00:00+00:00: 24h,72h due; 24h_snapshot_unavailable 72h_snapshot_unavailable; Meta response contains current lifetime totals only; no exact 24h/72h snapshot written.","Mantener separado de P0, Reels y afiliados; continuar con el siguiente corte observado.",2026-08-16_Calendario_Operativo_17_30_Agosto.csv; Meta Graph API v26; facebook_schedule_api_results.jsonl; Operations/Research/2026-08-20_Cohorte_17_30_Current_Cut.json; Current_Cut:20260821T032233Z
OBS-FB-17_30-13,EXP-2026-08-CAL-01,HB-003|HB-004|HB-005,Publicacion,2026-08-19,2026-08-19,260515 - Universe.png,Facebook,Imagen estática / meme,Reuse_Top,1,,,,,10:00,10:00:02,1036844829507460_122151374517072582,,,No_aplica,Publicado,Corte_Observado_Lifetime,"Corte observado 20260821T032233Z: 59 reacciones, 3 comentarios, 8 shares; no es snapshot exacto 24/72h. [METRICS-RUN:20260823T210000Z] 2026-08-23T21:00:00+00:00: 24h,72h due; 24h_snapshot_unavailable 72h_snapshot_unavailable; Meta response contains current lifetime totals only; no exact 24h/72h snapshot written.","Mantener separado de P0, Reels y afiliados; continuar con el siguiente corte observado.",2026-08-16_Calendario_Operativo_17_30_Agosto.csv; Meta Graph API v26; facebook_schedule_api_results.jsonl; Operations/Research/2026-08-20_Cohorte_17_30_Current_Cut.json; Current_Cut:20260821T032233Z
OBS-FB-17_30-14,EXP-2026-08-CAL-01,HB-003|HB-004|HB-005,Publicacion,2026-08-19,2026-08-19,2608061 - Fantasma - acaso parezco alguien que quiere ser genial.jpeg,Facebook,Imagen estática / meme,Nueva,1,,,,,11:00,11:00:18,1036844829507460_122151374589072582,,,No_aplica,Publicado,Corte_Observado_Lifetime,"Corte observado 20260821T032233Z: 26 reacciones, 3 comentarios, 6 shares; no es snapshot exacto 24/72h. [METRICS-RUN:20260823T210000Z] 2026-08-23T21:00:00+00:00: 24h,72h due; 24h_snapshot_unavailable 72h_snapshot_unavailable; Meta response contains current lifetime totals only; no exact 24h/72h snapshot written.","Mantener separado de P0, Reels y afiliados; continuar con el siguiente corte observado.",2026-08-16_Calendario_Operativo_17_30_Agosto.csv; Meta Graph API v26; facebook_schedule_api_results.jsonl; Operations/Research/2026-08-20_Cohorte_17_30_Current_Cut.json; Current_Cut:20260821T032233Z
OBS-FB-17_30-15,EXP-2026-08-CAL-01,HB-003|HB-004|HB-005,Publicacion,2026-08-19,2026-08-19,260560 - Fantasma.png,Facebook,Imagen estática / meme,Reuse_Top,1,,,,,13:30,13:30:02,1036844829507460_122151374655072582,,,No_aplica,Publicado,Corte_Observado_Lifetime,"Corte observado 20260821T032233Z: 7 reacciones, 0 comentarios, 1 shares; no es snapshot exacto 24/72h. [METRICS-RUN:20260823T210000Z] 2026-08-23T21:00:00+00:00: 24h,72h due; 24h_snapshot_unavailable 72h_snapshot_unavailable; Meta response contains current lifetime totals only; no exact 24h/72h snapshot written.","Mantener separado de P0, Reels y afiliados; continuar con el siguiente corte observado.",2026-08-16_Calendario_Operativo_17_30_Agosto.csv; Meta Graph API v26; facebook_schedule_api_results.jsonl; Operations/Research/2026-08-20_Cohorte_17_30_Current_Cut.json; Current_Cut:20260821T032233Z
OBS-FB-17_30-16,EXP-2026-08-CAL-01,HB-003|HB-004|HB-005,Publicacion,2026-08-19,2026-08-19,2608031 - Maeve+Silvio - Risas falsas.jpeg,Facebook,Imagen estática / meme,Nueva,1,,,,,16:00,16:00:00,1036844829507460_122151374745072582,,,No_aplica,Publicado,Corte_Observado_Lifetime,"Corte observado 20260821T032233Z: 38 reacciones, 2 comentarios, 8 shares; no es snapshot exacto 24/72h. [METRICS-RUN:20260823T210000Z] 2026-08-23T21:00:00+00:00: 24h,72h due; 24h_snapshot_unavailable 72h_snapshot_unavailable; Meta response contains current lifetime totals only; no exact 24h/72h snapshot written.","Mantener separado de P0, Reels y afiliados; continuar con el siguiente corte observado.",2026-08-16_Calendario_Operativo_17_30_Agosto.csv; Meta Graph API v26; facebook_schedule_api_results.jsonl; Operations/Research/2026-08-20_Cohorte_17_30_Current_Cut.json; Current_Cut:20260821T032233Z
